;SIGLA_UF_PV;NOME_MUNICIPIO_PV;NOTA_LINGUAGENS;NOTA_HUMANAS;NOTA_MATEMATICA;NOTA_NATUREZA;NOTA_REDAC;CIDADE/UF;LAT;LON
0;AC;Acrelândia;472.8205298013245;484.658940397351;495.9414285714286;450.8442857142857;558.6754966887418;Acrelândia, AC;-10.0759167;-67.0526898
1;AC;Brasiléia;489.36046511627904;486.7866279069768;504.3;473.3732919254659;575.9302325581396;Brasiléia, AC;-11.0010413;-68.7487894
2;AC;Cruzeiro do Sul;473.5673883626522;483.79201623815965;484.8781227436823;459.00216606498196;584.5737483085251;Cruzeiro do Sul, AC;-7.6307956;-72.6703869
3;AC;Epitaciolândia;483.65213675213676;493.43675213675215;491.69009900990096;471.2148514851485;572.3076923076923;Epitaciolândia, AC;-11.0289439;-68.7411519
4;AC;Feijó;477.6275167785235;488.6234899328859;487.3282608695652;456.9594202898551;576.1073825503356;Feijó, AC;-8.1648652;-70.3539579
5;AC;Jordão;425.8666666666667;458.93888888888887;472.52941176470586;444.90588235294115;544.4444444444445;Jordão, AC;-9.1911406;-71.9481397
6;AC;Marechal Thaumaturgo;441.9045454545454;461.0318181818182;450.15348837209297;441.78837209302327;543.1818181818181;Marechal Thaumaturgo, AC;-8.9479792;-72.7872614
7;AC;Mâncio Lima;452.95863874345554;463.782722513089;469.35;450.75352941176476;582.6178010471205;Mâncio Lima, AC;-7.6145911;-72.905264
8;AC;Plácido de Castro;458.21379310344827;466.2977011494253;483.57951807228915;451.3240963855422;549.4252873563219;Plácido de Castro, AC;-10.3239154;-67.1824196
9;AC;Porto Acre;465.1635416666666;489.309375;473.1417582417583;447.45054945054943;552.9166666666666;Porto Acre, AC;-9.5879722;-67.53307
10;AC;Porto Walter;446.7897435897436;462.79487179487177;455.9714285714286;445.7257142857143;564.1025641025641;Porto Walter, AC;-8.2687722;-72.7444458
11;AC;Rio Branco;490.0488998652896;502.09284538242775;503.7016469459546;474.34250079948833;599.8323604250861;Rio Branco, AC;-9.9765362;-67.8220778
12;AC;Santa Rosa do Purus;383.2625;433.36249999999995;421.325;427.4125;442.5;Santa Rosa do Purus, AC;-9.4354872;-70.4926109
13;AC;Sena Madureira;473.8010452961672;484.90662020905927;484.93768115942026;456.5083333333333;585.993031358885;Sena Madureira, AC;-9.0659556;-68.6571058
14;AC;Senador Guiomard;469.04581673306774;486.4003984063745;491.94769874476987;458.1794979079498;559.9203187250996;Senador Guiomard, AC;-9.9765;-67.31913961038961
15;AC;Tarauacá;461.8086330935252;474.66978417266193;480.7143968871596;445.21789883268485;568.4172661870504;Tarauacá, AC;-8.1602019;-70.7665368
16;AC;Xapuri;479.7509259259259;500.44074074074075;504.606;483.89;571.8518518518518;Xapuri, AC;-10.6511174;-68.5017902
17;AL;Arapiraca;493.7589947691607;512.6158289743006;533.5714591254754;485.54032794676806;642.3061178075961;Arapiraca, AL;-9.754866;-36.661471
